p,q1,q2,q3,dipole,nmr
0.198,25.6667484,20.2539634,10.4019582,59.6432,0.0542062
0.199,25.7970658,20.357626,10.4520539,59.9465,0.05448
0.2,25.9273833,20.4612886,10.5021513,60.2499,0.0547538
0.201,26.0577007,20.5649511,10.5522505,60.5532,0.0550275
0.202,26.1880181,20.6686137,10.6023515,60.8566,0.0553013
0.203,26.3183355,20.7722763,10.6524541,61.16,0.0555751
0.204,26.448653,20.8759388,10.7025584,61.4634,0.0558488
0.205,26.5789704,20.9796014,10.7526643,61.7668,0.0561226
0.206,26.7092878,21.083264,10.8027719,62.0703,0.0563964
0.207,26.8396052,21.1869265,10.8528811,62.3737,0.0566701
0.208,26.9699227,21.2905891,10.9029918,62.6772,0.0569439
0.209,27.1002401,21.3942517,10.953104,62.9807,0.0572177
0.21,27.2305575,21.4979142,11.0032178,63.2842,0.0574914
0.211,27.360875,21.6015768,11.0533331,63.5877,0.0577652
0.212,27.4911924,21.7052394,11.1034499,63.8913,0.058039
0.213,27.6215098,21.8089019,11.1535681,64.1948,0.0583127
0.214,27.7518272,21.9125645,11.2036878,64.4984,0.0585865
0.215,27.8821447,22.0162271,11.2538088,64.802,0.0588603
0.216,28.0124621,22.1198896,11.3039313,65.1055,0.0591341
0.217,28.1427795,22.2235522,11.3540551,65.4092,0.0594078
0.218,28.2730969,22.3272148,11.4041803,65.7128,0.0596816
0.219,28.4034144,22.4308773,11.4543068,66.0164,0.0599554
0.22,28.5337318,22.5345399,11.5044346,66.3201,0.0602291
0.221,28.6640492,22.6382025,11.5545637,66.6237,0.0605029
0.222,28.7943666,22.741865,11.6046941,66.9274,0.0607767
0.223,28.9246841,22.8455276,11.6548257,67.2311,0.0610504
0.224,29.0550015,22.9491902,11.7049585,67.5348,0.0613242
0.225,29.1853189,23.0528527,11.7550926,67.8386,0.061598
0.226,29.3156364,23.1565153,11.8052279,68.1423,0.0618717
0.227,29.4459538,23.2601779,11.8553644,68.4461,0.0621455
0.228,29.5762712,23.3638404,11.905502,68.7498,0.0624193
0.229,29.7065886,23.467503,11.9556408,69.0536,0.062693
0.23,29.8369061,23.5711656,12.0057807,69.3574,0.0629668
0.231,29.9672235,23.6748282,12.0559218,69.6612,0.0632406
0.232,30.0975409,23.7784907,12.1060639,69.965,0.0635143
0.233,30.2278583,23.8821533,12.1562072,70.2689,0.0637881
0.234,30.3581758,23.9858159,12.2063515,70.5727,0.0640619
0.235,30.4884932,24.0894784,12.2564969,70.8766,0.0643356
0.236,30.6188106,24.193141,12.3066433,71.1805,0.0646094
0.237,30.749128,24.2968036,12.3567907,71.4844,0.0648832
0.238,30.8794455,24.4004661,12.4069392,71.7883,0.065157
0.239,31.0097629,24.5041287,12.4570887,72.0922,0.0654307
0.24,31.1400803,24.6077913,12.5072391,72.3961,0.0657045
0.241,31.2703978,24.7114538,12.5573906,72.7001,0.0659783
0.242,31.4007152,24.8151164,12.607543,73.004,0.066252
0.243,31.5310326,24.918779,12.6576964,73.308,0.0665258
0.244,31.66135,25.0224415,12.7078507,73.612,0.0667996
0.245,31.7916675,25.1261041,12.7580059,73.916,0.0670733
0.246,31.9219849,25.2297667,12.808162,74.22,0.0673471
0.247,32.0523023,25.3334292,12.8583191,74.524,0.0676209
0.248,32.1826197,25.4370918,12.908477,74.828,0.0678946
0.249,32.3129372,25.5407544,12.9586359,75.1321,0.0681684
0.25,32.4432546,25.6444169,13.0087956,75.4362,0.0684422
0.251,32.573572,25.7480795,13.0589561,75.7402,0.0687159
0.252,32.7038894,25.8517421,13.1091175,76.0443,0.0689897
0.253,32.8342069,25.9554046,13.1592798,76.3484,0.0692635
0.254,32.9645243,26.0590672,13.2094428,76.6525,0.0695372
0.255,33.0948417,26.1627298,13.2596067,76.9567,0.069811
0.256,33.2251592,26.2663923,13.3097714,77.2608,0.0700848
0.257,33.3554766,26.3700549,13.3599369,77.5649,0.0703585
0.258,33.485794,26.4737175,13.4101032,77.8691,0.0706323
0.259,33.6161114,26.57738,13.4602703,78.1733,0.0709061
0.26,33.7464289,26.6810426,13.5104381,78.4775,0.0711799
0.261,33.8767463,26.7847052,13.5606067,78.7817,0.0714536
0.262,34.0070637,26.8883678,13.610776,79.0859,0.0717274
0.263,34.1373811,26.9920303,13.6609461,79.3901,0.0720012
0.264,34.2676986,27.0956929,13.7111169,79.6943,0.0722749
0.265,34.398016,27.1993555,13.7612884,79.9986,0.0725487
0.266,34.5283334,27.303018,13.8114607,80.3028,0.0728225
0.267,34.6586508,27.4066806,13.8616336,80.6071,0.0730962
0.268,34.7889683,27.5103432,13.9118073,80.9114,0.07337
0.269,34.9192857,27.6140057,13.9619816,81.2157,0.0736438
0.27,35.0496031,27.7176683,14.0121566,81.52,0.0739175
0.271,35.1799206,27.8213309,14.0623323,81.8243,0.0741913
0.272,35.310238,27.9249934,14.1125087,82.1286,0.0744651
0.273,35.4405554,28.028656,14.1626857,82.433,0.0747388
0.274,35.5708728,28.1323186,14.2128633,82.7373,0.0750126
0.275,35.7011903,28.2359811,14.2630417,83.0417,0.0752864
0.276,35.8315077,28.3396437,14.3132206,83.3461,0.0755601
0.277,35.9618251,28.4433063,14.3634002,83.6505,0.0758339
0.278,36.0921425,28.5469688,14.4135804,83.9549,0.0761077
0.279,36.22246,28.6506314,14.4637612,84.2593,0.0763814
0.28,36.3527774,28.754294,14.5139426,84.5637,0.0766552
0.281,36.4830948,28.8579565,14.5641246,84.8681,0.076929
0.282,36.6134122,28.9616191,14.6143072,85.1726,0.0772028
0.283,36.7437297,29.0652817,14.6644904,85.477,0.0774765
0.284,36.8740471,29.1689442,14.7146742,85.7815,0.0777503
